season,name,nation,team,position,90s,goal,shoot,ontarget,ontarget%,shoot/90,ontarget/90,goal/shoot,goal/ontarget,fk,pass,shortpass,mediumpass,longpass,assist,keypass,throw,cross,ck,tackle,cut,block,intercept,clearing,match,time,foul,gainfoul,offside
20,이정협_부산,KOR,부산,FW,19.83333333,6,27,18,0.666666667,0.3,0.2,0.222222222,0.333333333,0,251,177,59,15,2,12,1,3,0,1,10,1,8,13,22,1785,15,27,10
20,김병오_부산,KOR,부산,W,13.5,0,16,3,0.1875,0.177777778,0.033333333,0,0,1,249,147,83,19,1,7,5,6,0,7,32,2,13,5,20,1215,24,30,3
20,문창진_상주,KOR,상주,MF,6.255555556,1,6,2,0.333333333,0.066666667,0.022222222,0.166666667,0.5,6,244,171,66,7,1,7,2,3,7,0,17,0,8,0,16,563,4,12,0
20,에드가_대구,KOR,대구,FW,13.1,5,54,15,0.277777778,0.6,0.166666667,0.092592593,0.333333333,0,242,173,55,14,3,17,0,3,0,0,15,1,4,12,16,1179,31,25,10
20,이찬동_제주,KOR,제주,MF,5.244444444,0,6,1,0.166666667,0.066666667,0.011111111,0,0,7,241,117,110,14,0,4,0,0,0,0,31,1,9,7,8,472,12,14,0
20,박한빈_대구,KOR,대구,MF,8.122222222,1,12,3,0.25,0.133333333,0.033333333,0.083333333,0.333333333,0,240,156,66,18,1,7,2,0,0,5,35,1,10,2,8,731,21,10,0
20,오범석_포항,KOR,포항,FB,6.244444444,0,2,0,0,0.022222222,0,0,0,5,239,122,94,23,0,0,13,0,0,4,29,3,12,10,9,562,15,11,0
20,권혁규_부산,KOR,부산,MF,10.47777778,1,15,6,0.4,0.166666667,0.066666667,0.066666667,0.166666667,1,236,167,59,10,0,2,1,0,0,2,27,1,11,4,16,943,25,13,1
20,김오규_제주,KOR,제주,DF,3.433333333,0,1,0,0,0.011111111,0,0,0,5,236,83,129,24,0,1,0,0,0,3,22,0,9,6,4,309,5,2,0
20,구성윤_대구,KOR,대구,GK,18.25555556,0,0,0,0,0,0,0,0,40,234,0,79,112,1,1,0,0,0,0,0,0,2,11,17,1643,0,2,0
20,안영규_성남,KOR,성남,DF,6.611111111,0,1,0,0,0.011111111,0,0,0,8,234,122,88,24,0,0,7,1,0,3,39,5,7,23,13,595,6,4,0
20,이광연_강원,KOR,강원,GK,11.66666667,0,0,0,0,0,0,0,0,24,233,80,99,54,0,0,0,0,0,0,0,0,3,12,11,1050,0,0,0
20,심동운_포항,KOR,포항,W,11.41111111,0,23,6,0.260869565,0.255555556,0.066666667,0,0,0,232,160,65,7,1,4,15,2,1,4,32,0,8,2,22,1027,11,7,1
20,윤주태_서울,KOR,서울,FW,10.15555556,3,37,15,0.405405405,0.411111111,0.166666667,0.081081081,0.2,1,227,150,65,12,1,5,2,1,0,1,15,0,4,3,18,914,13,15,2
20,우주성_상주,KOR,상주,DF,5.033333333,0,3,0,0,0.033333333,0,0,0,2,226,92,127,7,0,1,7,2,0,1,28,4,9,7,8,453,3,6,1
20,여봉훈_광주,KOR,광주,MF,8.655555556,0,4,1,0.25,0.044444444,0.011111111,0,0,4,218,119,81,18,0,3,19,0,0,6,33,3,17,9,14,779,15,9,0
20,송시우_인천,KOR,인천,W,12.43333333,2,19,7,0.368421053,0.211111111,0.077777778,0.105263158,0.285714286,1,215,164,45,6,2,11,1,0,0,1,17,1,8,4,25,1119,20,40,3
20,윌리안_광주,KOR,광주,W,14.91111111,5,39,15,0.384615385,0.433333333,0.166666667,0.128205128,0.333333333,1,215,124,70,21,3,11,3,4,2,2,47,0,25,4,17,1342,29,35,5
20,바로우_전북,KOR,전북,W,10.56666667,2,10,5,0.5,0.111111111,0.055555556,0.2,0.4,1,211,154,49,8,4,15,3,13,0,5,37,0,7,2,15,951,17,19,2
20,윤석영_부산,KOR,부산,FB,5.544444444,0,2,0,0,0.022222222,0,0,0,10,208,103,78,27,0,3,41,4,4,3,25,3,5,7,6,499,0,7,0
20,정석화_강원,KOR,강원,W,7.544444444,0,6,1,0.166666667,0.066666667,0.011111111,0,0,2,208,134,67,7,1,10,6,8,10,0,13,0,5,0,13,679,10,8,0
20,한희훈_광주,KOR,광주,DF,7.744444444,0,4,0,0,0.044444444,0,0,0,5,208,76,94,38,1,3,1,1,0,7,29,10,22,19,9,697,5,10,0
