season,name,nation,team,position,90s,goal,shoot,ontarget,ontarget%,shoot/90,ontarget/90,goal/shoot,goal/ontarget,fk,pass,shortpass,mediumpass,longpass,assist,keypass,throw,cross,ck,tackle,cut,block,intercept,clearing,match,time,foul,gainfoul,offside,world,rank
19,Pablo Zabaleta,ar ARG,Westham,FB,6.6,0,1,0,0,0.15,0,0,,0,247,131,96,19,0,4,0,12,0,10,16,3,8,20,10,592,7,9,0,,8
19,Paulo Gazzaniga,ar ARG,Tottenham,GK,17.9,0,0,0,,0,0,,,0,319,72,138,109,0,1,1,0,0,0,0,0,0,0,18,1613,1,2,0,,8
18,Roberto Pereyra,ar ARG,Watford,W,31.3,6,56,21,37.5,1.79,0.67,0.11,0.29,6,967,517,333,95,1,38,3,33,17,20,50,0,19,19,33,2815,27,37,2,8,8
17,Roberto Pereyra,ar ARG,Watford,W,18,5,34,13,38.2,1.88,0.72,0.15,0.38,2,602,311,193,82,2,24,3,38,17,8,27,0,13,6,32,1624,18,27,2,,8
19,Roberto Pereyra,ar ARG,Watford,W,18.3,3,19,8,42.1,1.04,0.44,0.11,0.25,4,538,291,184,42,0,18,4,16,22,10,39,1,11,5,28,1648,21,33,6,8,8
18,Sergio Agüero,ar ARG,ManCity,FW,27.3,21,118,41,34.7,4.32,1.5,0.16,0.46,3,665,393,225,20,8,34,6,15,1,14,22,6,7,1,33,2459,22,25,26,8,8
17,Sergio Agüero,ar ARG,ManCity,FW,21.8,21,92,38,41.3,4.22,1.74,0.18,0.45,1,530,352,143,11,6,37,2,17,1,5,14,2,8,4,25,1963,10,17,16,8,8
19,Sergio Agüero,ar ARG,ManCity,FW,16.1,16,73,25,34.2,4.52,1.55,0.19,0.56,0,284,175,81,11,3,16,5,8,0,5,15,2,2,3,24,1452,9,9,6,8,8
17,Aleksandar Dragović,at AUT,Leicester,DF,8.5,0,2,0,0,0.23,0,0,,0,291,69,144,75,0,0,0,1,0,4,24,8,7,36,11,769,7,4,0,,
17,Christian Fuchs,at AUT,Leicester,FB,21.3,0,11,0,0,0.52,0,0,,0,814,343,312,141,1,12,0,76,11,24,52,2,43,56,25,1921,12,4,0,,25
19,Christian Fuchs,at AUT,Leicester,FB,8.6,0,5,1,20,0.58,0.12,0,0,2,510,200,233,71,0,2,1,11,0,9,29,3,14,39,11,772,3,0,1,,25
