season,name,nation,team,position,90s,goal,shoot,ontarget,ontarget%,shoot/90,ontarget/90,goal/shoot,goal/ontarget,fk,pass,shortpass,mediumpass,longpass,assist,keypass,throw,cross,ck,tackle,cut,block,intercept,clearing,match,time,foul,gainfoul,offside,world,rank
17,Mohamed Diamé,sn SEN,NewCastle,MF,22.7,2,22,7,31.8,0.97,0.31,0.09,0.29,0,669,308,267,79,0,12,0,4,0,63,52,8,38,32,31,2041,44,16,0,,
18,Mohamed Diamé,sn SEN,NewCastle,MF,24.1,0,21,3,14.3,0.87,0.12,0,0,0,571,270,215,76,0,1,1,9,0,48,50,10,31,39,29,2166,36,20,0,,
17,Oumar Niasse,sn SEN,Everton,W,12.1,8,38,18,47.4,3.15,1.49,0.21,0.44,0,162,95,48,8,2,13,2,12,1,3,6,2,2,7,22,1087,30,14,20,,
18,Oumar Niasse,sn SEN,Cardiff,W,10.3,0,17,6,35.3,1.64,0.58,0,0,0,115,70,34,6,0,5,1,5,0,6,14,1,2,7,13,931,8,17,9,,
18,Sadio Mané,sn SEN,Liverpool,W,34.2,22,88,42,47.7,2.57,1.23,0.25,0.52,0,932,510,323,83,1,43,10,45,3,31,36,7,20,6,36,3077,35,64,26,,
19,Sadio Mané,sn SEN,Liverpool,W,30.5,18,76,36,47.4,2.49,1.18,0.24,0.5,0,933,484,328,96,7,56,10,52,0,35,30,1,11,5,35,2747,46,51,14,,
17,Sadio Mané,sn SEN,Liverpool,W,24.3,10,71,25,35.2,2.92,1.03,0.14,0.4,0,766,387,307,54,7,45,3,39,0,20,21,2,11,8,29,2190,24,50,13,,
18,Floyd Ayité,tg TOG,Fulham,W,5.3,1,7,1,14.3,1.32,0.19,0.14,1,0,159,93,48,13,0,8,0,5,2,6,13,2,5,5,16,476,6,7,4,,
19,Çağlar Söyüncü,tr TUR,Leicester,DF,33.7,1,20,7,35,0.59,0.21,0.05,0.14,0,2034,653,1099,271,1,4,0,4,0,47,49,19,26,222,34,3036,29,20,1,,
18,Cenk Tosun,tr TUR,Everton,FW,11.8,3,34,15,44.1,2.89,1.27,0.09,0.2,0,190,115,52,14,3,11,2,5,0,11,8,0,6,2,25,1059,17,16,10,,
17,Cenk Tosun,tr TUR,Everton,FW,11,5,19,8,42.1,1.73,0.73,0.26,0.63,0,190,100,59,15,0,12,2,8,1,3,17,4,4,10,14,986,25,11,9,,
19,Mbwana Samatta,tz TAN,AstonVilla,FW,10.5,1,17,3,17.6,1.62,0.29,0.06,0.33,0,127,79,36,9,0,7,1,3,0,7,8,1,0,6,14,943,8,18,8,,
19,Andriy Yarmolenko,ua UKR,Westham,W,11,5,26,12,46.2,2.36,1.09,0.19,0.42,2,338,191,92,41,1,18,1,22,3,10,8,1,3,6,23,991,16,10,8,,
19,Oleksandr Zinchenko,ua UKR,ManCity,FB,14.2,0,16,3,18.8,1.13,0.21,0,0,0,1198,535,546,105,0,18,2,33,3,16,20,0,6,36,19,1276,13,2,1,,
18,Oleksandr Zinchenko,ua UKR,ManCity,FB,12.8,0,7,1,14.3,0.55,0.08,0,0,0,1208,568,529,105,3,12,4,34,0,16,18,3,17,28,14,1151,15,5,1,,
19,Christian Pulisic,us USA,Chelsea,MF,19.1,9,62,25,40.3,3.24,1.31,0.15,0.36,0,546,319,172,42,4,29,4,26,4,19,23,0,2,11,25,1722,13,30,3,,
17,Danny Williams,us USA,Hudders,FB,12.5,0,12,2,16.7,0.96,0.16,0,0,0,323,118,157,42,0,5,0,6,0,15,17,2,20,26,20,1124,17,17,2,,
17,DeAndre Yedlin,us USA,NewCastle,FB,31.6,0,5,0,0,0.16,0,0,0,0,976,493,390,76,2,21,0,67,0,18,70,8,43,72,34,2845,32,27,9,,
18,DeAndre Yedlin,us USA,NewCastle,FB,27.5,1,11,2,18.2,0.4,0.07,0.09,0.5,0,784,362,342,71,2,29,0,66,1,27,76,14,25,69,29,2473,41,14,4,,
19,DeAndre Yedlin,us USA,NewCastle,FB,10.4,1,1,1,100,0.1,0.1,1,1,0,228,135,61,26,0,7,0,19,0,14,26,8,8,21,16,938,8,9,2,,
17,Geoff Cameron,us USA,Stroke,DF,16.9,0,5,0,0,0.3,0,0,,0,395,148,177,65,0,7,0,11,0,18,35,8,26,58,20,1525,16,7,0,,
18,Tim Ream,us USA,Fulham,DF,22.7,0,1,0,0,0.04,0,0,,0,910,284,525,99,0,2,0,0,0,14,31,11,19,101,26,2047,11,9,0,,
18,Lucas Torreira,uy URU,Arsenal,MF,26.5,2,24,6,25,0.91,0.23,0.08,0.33,2,1420,536,696,164,2,16,3,16,22,46,39,7,38,41,34,2382,37,77,0,7,7
19,Lucas Torreira,uy URU,Arsenal,MF,16.8,1,21,6,28.6,1.25,0.36,0.05,0.17,0,793,261,401,122,1,14,1,5,12,24,29,9,24,30,29,1512,24,43,1,,7
